date,f_cap,f_aut,f_pri,f_siz
2024/9/9,46,82,46,57
2024/9/10,44,57,44,40
2024/9/11,30,41,30,44
2024/9/12,41,62,41,43
2024/9/13,34,50,34,44
2024/9/14,75,84,75,58
2024/9/15,55,79,55,62
2024/9/16,75,89,75,72
2024/9/17,29,39,29,40
2024/9/18,43,55,43,46
2024/9/19,42,42,42,31
2024/9/20,41,47,41,45
2024/9/21,46,86,46,53
2024/9/22,64,83,64,67
2024/9/23,57,81,57,57
2024/9/24,38,62,38,46
2024/9/25,36,43,36,49
2024/9/26,44,49,44,46
2024/9/27,44,36,44,41
2024/9/28,59,62,59,58
2024/9/29,56,72,56,51
2024/9/30,43,47,43,36
2024/10/1,41,77,41,45
2024/10/2,33,75,33,45
2024/10/3,57,40,57,40
2024/10/4,44,49,44,33
2024/10/5,59,74,59,53
2024/10/6,47,80,47,71
2024/10/7,34,61,34,54
2024/10/8,42,49,42,49
2024/10/9,34,64,34,51
2024/10/10,38,56,38,43
2024/10/11,31,54,31,51
2024/10/12,58,60,58,48
2024/10/13,47,62,47,63
2024/10/14,63,99,63,49
2024/10/15,40,40,40,59
2024/10/16,34,58,34,41
2024/10/17,31,61,31,38
2024/10/18,32,69,32,43
2024/10/19,61,64,61,62
2024/10/20,57,68,57,74
2024/10/21,27,45,27,53
2024/10/22,38,60,38,57
2024/10/23,31,42,31,53
2024/10/24,42,50,42,47
2024/10/25,36,38,36,49
2024/10/26,38,50,38,58
2024/10/27,58,64,58,70
2024/10/28,26,57,26,38
2024/10/29,20,59,20,39
2024/10/30,35,63,35,35
2024/10/31,41,50,41,65
2024/11/1,37,37,37,35
2024/11/2,47,57,47,55
2024/11/3,45,58,45,75
2024/11/4,58,60,58,58
2024/11/5,29,70,29,41
2024/11/6,37,53,37,42
2024/11/7,50,46,50,49
2024/11/8,32,53,32,25
2024/11/9,49,60,49,61
2024/11/10,45,74,45,57
2024/11/11,49,37,49,49
2024/11/12,44,53,44,35
2024/11/13,42,48,42,54
2024/11/14,40,34,40,29
2024/11/15,46,53,46,58
2024/11/16,46,64,46,79
2024/11/17,78,71,78,76
2024/11/18,43,61,43,62
2024/11/19,39,49,39,50
2024/11/20,52,50,52,35
2024/11/21,55,35,55,54
2024/11/22,53,54,53,45
2024/11/23,42,74,42,68
2024/11/24,74,74,74,62
2024/11/25,67,44,67,64
2024/11/26,45,51,45,42
2024/11/27,53,62,53,56
2024/11/28,56,29,56,53
2024/11/29,47,53,47,54
2024/11/30,58,81,58,60
2024/12/1,100,94,100,79
2024/12/2,55,69,55,56
2024/12/3,39,50,39,53
2024/12/4,46,66,46,54
2024/12/5,51,56,51,58
2024/12/6,43,49,43,66
2024/12/7,44,61,44,67
2024/12/8,63,100,63,48
2024/12/9,50,41,50,49
2024/12/10,54,57,54,36
2024/12/11,44,57,44,34
2024/12/12,64,28,64,48
2024/12/13,27,63,27,44
2024/12/14,65,57,65,64
2024/12/15,65,49,65,100
2024/12/16,59,70,59,63
2024/12/17,38,49,38,52
2024/12/18,48,62,48,45
2024/12/19,55,42,55,59
2024/12/20,50,39,50,38
2024/12/21,53,64,53,66
2024/12/22,54,63,54,68
2024/12/23,34,52,34,45
2024/12/24,30,50,30,50
2024/12/25,44,76,44,40
2024/12/26,45,77,45,51
2024/12/27,37,41,37,27
2024/12/28,63,31,63,41
2024/12/29,64,55,64,55
2024/12/30,42,62,42,51
2024/12/31,49,54,49,46
2025/1/1,40,33,77,40
2025/1/2,64,68,89,64
2025/1/3,59,58,88,59
2025/1/4,59,77,73,59
2025/1/5,59,80,75,59
2025/1/6,46,54,64,46
2025/1/7,66,53,79,66
2025/1/8,51,44,54,51
2025/1/9,42,47,69,42
2025/1/10,59,38,64,59
2025/1/11,74,42,84,74
2025/1/12,66,79,95,66
2025/1/13,73,90,73,73
2025/1/14,51,53,40,51
2025/1/15,49,73,50,49
2025/1/16,38,35,45,38
2025/1/17,60,52,45,60
2025/1/18,74,50,59,74
2025/1/19,71,85,82,71
2025/1/20,56,39,62,56
2025/1/21,67,47,46,67
2025/1/22,45,38,63,45
2025/1/23,54,41,51,54
2025/1/24,54,50,36,54
2025/1/25,63,52,73,63
2025/1/26,75,72,74,75
2025/1/27,49,57,59,49
2025/1/28,55,52,48,55
2025/1/29,55,39,53,55
2025/1/30,37,61,39,37
2025/1/31,48,56,54,48
2025/2/1,81,59,78,81
2025/2/2,70,92,67,70
2025/2/3,64,41,34,64
2025/2/4,65,0,72,65
2025/2/5,60,40,55,60
2025/2/6,47,60,45,47
2025/2/7,42,51,47,42
2025/2/8,69,79,79,69
2025/2/9,83,100,88,83
2025/2/10,61,35,70,61
2025/2/11,67,79,70,67
2025/2/12,50,51,58,50
2025/2/13,51,38,54,51
2025/2/14,40,27,51,40
2025/2/15,79,72,71,79
2025/2/16,92,51,98,92
2025/2/17,66,44,44,66
2025/2/18,55,42,69,55
2025/2/19,36,47,64,36
2025/2/20,44,45,39,44
2025/2/21,65,36,58,65
2025/2/22,61,55,60,61
2025/2/23,88,80,83,88
2025/2/24,73,77,100,73
2025/2/25,76,41,71,76
2025/2/26,61,50,77,61
2025/2/27,68,60,52,68
2025/2/28,59,63,67,59
2025/3/1,88,49,79,88
2025/3/2,88,84,53,88
2025/3/3,88,51,66,88
2025/3/4,71,51,30,71
2025/3/5,57,57,73,57
2025/3/6,51,68,55,51
2025/3/7,60,57,49,60
2025/3/8,88,75,82,88
2025/3/9,86,79,91,86
2025/3/10,57,52,79,57
2025/3/11,70,33,56,70
2025/3/12,60,51,51,60
2025/3/13,53,45,56,53
2025/3/14,62,45,55,62
2025/3/15,88,67,54,88
2025/3/16,86,67,87,86
2025/3/17,60,63,61,60
2025/3/18,76,46,30,76
2025/3/19,69,67,65,69
2025/3/20,100,79,94,100
2025/3/21,68,51,51,68
2025/3/22,92,75,60,92
2025/3/23,74,47,84,74
2025/3/24,61,58,53,61
2025/3/25,63,62,51,63
2025/3/26,64,43,51,64
2025/3/27,67,0,37,67
2025/3/28,60,52,48,60
2025/3/29,99,61,50,99
2025/3/30,82,81,58,82
2025/3/31,56,67,73,56
2025/4/1,56,40,41,56
2025/4/2,39,41,50,39
2025/4/3,44,33,31,44
2025/4/4,56,61,44,56
2025/4/5,66,42,51,66
2025/4/6,70,36,66,70
2025/4/7,54,40,49,54
2025/4/8,53,0,49,53
2025/4/9,46,43,46,46
2025/4/10,36,67,42,36
2025/4/11,45,48,41,45
2025/4/12,66,100,55,66
2025/4/13,68,50,56,68
2025/4/14,55,61,55,55
2025/4/15,45,41,38,45
2025/4/16,53,34,57,53
2025/4/17,50,54,39,50
2025/4/18,48,59,39,48
2025/4/19,75,64,70,75
2025/4/20,72,87,83,72
2025/4/21,50,58,50,50
2025/4/22,36,38,41,36
2025/4/23,43,75,36,43
2025/4/24,54,50,49,54
2025/4/25,51,34,54,51
2025/4/26,52,51,85,52
2025/4/27,54,81,56,54
2025/4/28,50,47,41,50
2025/4/29,64,74,40,64
2025/4/30,47,52,43,47
2025/5/1,43,39,45,43
2025/5/2,59,32,44,59
2025/5/3,52,52,48,52
2025/5/4,51,65,64,51
2025/5/5,53,41,45,53
2025/5/6,62,56,56,62
2025/5/7,38,39,42,38
2025/5/8,27,28,45,27
2025/5/9,43,42,36,43
2025/5/10,57,48,55,57
2025/5/11,60,76,56,60
2025/5/12,59,43,40,59
2025/5/13,42,46,44,42
2025/5/14,35,68,35,35
2025/5/15,50,36,51,50
2025/5/16,47,40,50,47
2025/5/17,62,58,66,62
2025/5/18,72,59,59,72
2025/5/19,59,65,41,59
2025/5/20,52,61,47,52
2025/5/21,41,56,43,41
2025/5/22,37,45,47,37
2025/5/23,42,51,44,42
2025/5/24,68,67,53,68
2025/5/25,70,67,59,70
2025/5/26,48,37,63,48
2025/5/27,40,50,57,40
2025/5/28,42,45,59,42
2025/5/29,49,34,28,49
2025/5/30,46,54,38,46
2025/5/31,63,69,56,63
2025/6/1,64,51,58,64
2025/6/2,44,31,26,44
2025/6/3,36,57,40,36
2025/6/4,51,57,46,51
2025/6/5,49,48,40,49
2025/6/6,56,41,37,56
2025/6/7,66,56,66,66
2025/6/8,70,72,51,70
2025/6/9,59,45,45,59
2025/6/10,52,53,61,52
2025/6/11,43,32,42,43
2025/6/12,61,43,48,61
2025/6/13,44,41,42,44
2025/6/14,68,51,66,68
2025/6/15,65,65,74,65
2025/6/16,50,64,46,50
2025/6/17,53,44,44,53
2025/6/18,42,0,55,42
2025/6/19,49,39,43,49
2025/6/20,50,57,0,50
2025/6/21,65,59,80,65
2025/6/22,62,77,49,62
2025/6/23,49,47,39,49
2025/6/24,56,54,63,56
2025/6/25,45,39,47,45
2025/6/26,43,57,47,43
2025/6/27,38,47,45,38
2025/6/28,61,42,73,61
2025/6/29,89,59,72,89
2025/6/30,53,59,56,53
2025/7/1,60,25,54,58
2025/7/2,67,45,48,51
2025/7/3,50,30,43,58
2025/7/4,42,0,50,43
2025/7/5,72,54,72,75
2025/7/6,65,63,68,57
2025/7/7,61,50,65,47
2025/7/8,58,67,53,49
2025/7/9,50,60,37,58
2025/7/10,61,53,54,49
2025/7/11,55,47,47,62
2025/7/12,59,76,78,68
2025/7/13,80,85,66,74
2025/7/14,71,69,37,70
2025/7/15,61,42,25,48
