date,category,week,season
2025/12/7,78,,
2025/12/8,87,,
2025/12/9,75,,
2025/12/10,84,,
2025/12/11,72,,
2025/12/12,75,,
2025/12/13,88,,
2025/12/14,86,,
2025/12/15,77,,
2025/12/16,80,,
2025/12/17,87,,
2025/12/18,84,,
2025/12/19,73,,
2025/12/20,86,,
2025/12/21,91,,
2025/12/22,80,,
2025/12/23,78,,
2025/12/24,89,,
2025/12/25,86,,
2025/12/26,87,,
2025/12/27,79,,
2025/12/28,66,,
2025/12/29,72,,
2025/12/30,74,,
2025/12/31,66,,
