date,解像度,サイズ,価格,ズーム性能,week,カテゴリ
2024/2/25,55,68,73,57,,
2024/2/26,58,57,67,49,,
2024/2/27,51,85,69,45,,
2024/2/28,63,58,72,39,,
2024/2/29,58,55,45,36,,
2024/3/1,56,68,48,44,,
2024/3/2,48,40,68,47,,
2024/3/3,49,50,54,52,,
2024/3/4,65,67,74,39,,
2024/3/5,53,61,53,50,,
2024/3/6,60,60,80,52,,
2024/3/7,58,71,80,54,,
2024/3/8,51,73,59,49,,
2024/3/9,50,73,65,52,,
2024/3/10,46,67,85,73,,
2024/3/11,57,61,76,44,,
2024/3/12,70,71,55,33,,
2024/3/13,65,65,58,50,,
2024/3/14,44,84,50,44,,
2024/3/15,50,74,55,38,,
2024/3/16,58,55,78,60,,
2024/3/17,55,62,71,62,,
2024/3/18,61,66,67,49,,
2024/3/19,64,78,62,46,,
2024/3/20,47,71,86,54,,
2024/3/21,57,61,67,45,,
2024/3/22,54,67,57,40,,
2024/3/23,61,80,64,47,,
2024/3/24,48,54,67,44,,
2024/3/25,44,73,50,36,,
2024/3/26,51,72,64,34,,
2024/3/27,57,60,66,38,,
2024/3/28,57,66,59,45,,
2024/3/29,60,62,53,44,,
2024/3/30,43,68,55,50,,
2024/3/31,41,79,58,46,,
2024/4/1,59,53,57,37,,
2024/4/2,67,73,60,49,,
2024/4/3,46,55,58,50,,
2024/4/4,62,68,71,33,,
2024/4/5,34,76,61,45,,
2024/4/6,58,53,65,48,,
2024/4/7,53,53,69,51,,
2024/4/8,62,89,65,47,,
2024/4/9,57,84,61,41,,
2024/4/10,48,69,47,47,,
2024/4/11,53,69,51,36,,
2024/4/12,48,62,52,39,,
2024/4/13,55,76,54,54,,
2024/4/14,51,98,61,56,,
2024/4/15,67,65,54,49,,
2024/4/16,58,100,63,49,,
2024/4/17,62,67,56,38,,
2024/4/18,56,76,69,44,,
2024/4/19,57,76,50,38,,
2024/4/20,53,67,59,40,,
2024/4/21,45,71,65,55,,
2024/4/22,56,79,58,49,,
2024/4/23,62,57,65,39,,
2024/4/24,55,69,55,40,,
2024/4/25,58,54,57,44,,
2024/4/26,53,57,59,38,,
2024/4/27,53,83,55,39,,
2024/4/28,48,86,65,48,,
2024/4/29,48,83,71,49,,
2024/4/30,53,89,75,47,,
2024/5/1,78,77,56,56,,
2024/5/2,75,47,48,51,,
2024/5/3,70,64,52,64,,
2024/5/4,53,71,60,59,,
2024/5/5,60,72,56,70,,
2024/5/6,70,62,60,54,,
2024/5/7,76,76,59,59,,
2024/5/8,72,54,56,79,,
2024/5/9,76,68,50,51,,
2024/5/10,91,45,46,51,,
2024/5/11,64,61,62,67,,
2024/5/12,58,80,73,72,,
2024/5/13,93,68,42,78,,
2024/5/14,73,47,64,69,,
2024/5/15,57,69,55,57,,
2024/5/16,81,67,67,60,,
2024/5/17,75,71,52,73,,
2024/5/18,49,63,76,79,,
2024/5/19,67,76,63,76,,
2024/5/20,81,60,70,56,,
2024/5/21,71,69,46,63,,
2024/5/22,77,79,64,40,,
2024/5/23,67,67,77,63,,
2024/5/24,78,85,74,65,,
2024/5/25,63,100,62,73,,
2024/5/26,59,58,66,73,,
2024/5/27,86,76,65,51,,
2024/5/28,70,66,59,54,,
2024/5/29,70,40,64,49,,
2024/5/30,72,37,57,53,,
2024/5/31,70,56,50,35,,
2024/6/1,62,41,50,94,,
2024/6/2,60,67,59,63,,
2024/6/3,83,48,69,60,,
2024/6/4,68,51,53,39,,
2024/6/5,77,53,40,43,,
2024/6/6,54,74,56,45,,
2024/6/7,71,74,40,57,,
2024/6/8,64,44,62,72,,
2024/6/9,62,82,51,64,,
2024/6/10,84,65,63,48,,
2024/6/11,77,66,46,68,,
2024/6/12,64,80,54,49,,
2024/6/13,80,55,51,57,,
2024/6/14,81,57,50,51,,
2024/6/15,54,45,39,43,,
2024/6/16,56,43,54,62,,
2024/6/17,69,48,58,50,,
2024/6/18,73,50,68,45,,
2024/6/19,90,80,49,44,,
2024/6/20,77,40,53,50,,
2024/6/21,69,59,52,41,,
2024/6/22,63,83,64,47,,
2024/6/23,63,63,58,76,,
2024/6/24,67,64,48,47,,
2024/6/25,71,67,48,39,,
2024/6/26,74,53,53,58,,
2024/6/27,87,57,51,50,,
2024/6/28,76,63,55,53,,
2024/6/29,67,57,58,35,,
2024/6/30,73,75,54,61,,
2024/7/1,66,61,59,46,,
2024/7/2,80,64,54,49,,
2024/7/3,85,79,50,32,,
2024/7/4,72,80,48,46,,
2024/7/5,79,54,53,43,,
2024/7/6,70,62,51,46,,
2024/7/7,63,56,33,51,,
2024/7/8,66,43,45,30,,
2024/7/9,62,57,46,45,,
2024/7/10,58,55,43,50,,
2024/7/11,74,63,53,46,,
2024/7/12,64,60,34,46,,
2024/7/13,48,70,52,51,,
2024/7/14,61,60,52,48,,
2024/7/15,80,61,38,62,,
2024/7/16,63,81,54,50,,
2024/7/17,69,67,55,54,,
2024/7/18,74,46,51,25,,
2024/7/19,72,62,34,34,,
2024/7/20,59,72,58,52,,
2024/7/21,67,66,44,74,,
2024/7/22,74,51,52,37,,
2024/7/23,60,59,47,49,,
2024/7/24,62,51,47,42,,
2024/7/25,69,61,43,42,,
2024/7/26,72,57,42,50,,
2024/7/27,47,58,51,39,,
2024/7/28,52,60,62,46,,
2024/7/29,68,55,54,50,,
2024/7/30,66,33,51,49,,
2024/7/31,68,46,45,41,,
2024/8/1,65,53,36,45,,
2024/8/2,50,53,52,31,,
2024/8/3,69,79,48,47,,
2024/8/4,52,77,46,54,,
2024/8/5,72,75,39,35,,
2024/8/6,66,59,42,37,,
2024/8/7,59,50,46,45,,
2024/8/8,54,56,51,34,,
2024/8/9,72,39,30,37,,
2024/8/10,58,80,45,36,,
2024/8/11,52,43,50,48,,
2024/8/12,61,59,53,49,,
2024/8/13,47,31,37,50,,
2024/8/14,65,65,61,53,,
2024/8/15,57,51,47,49,,
2024/8/16,62,57,64,40,,
2024/8/17,62,48,50,45,,
2024/8/18,58,79,56,59,,
2024/8/19,73,74,43,51,,
2024/8/20,52,55,59,40,,
2024/8/21,70,70,48,51,,
2024/8/22,66,44,45,49,,
2024/8/23,58,56,60,44,,
2024/8/24,67,63,53,55,,
2024/8/25,53,55,57,42,,
2024/8/26,55,68,47,64,,
2024/8/27,88,68,41,43,,
2024/8/28,67,56,57,46,,
2024/8/29,65,62,57,52,,
2024/8/30,71,65,48,34,,
2024/8/31,70,52,60,43,,
2024/9/1,55,68,57,51,,
2024/9/2,71,58,47,50,,
2024/9/3,76,81,55,53,,
2024/9/4,74,73,48,37,,
2024/9/5,59,69,59,34,,
2024/9/6,54,61,50,54,,
2024/9/7,72,77,47,52,,
2024/9/8,69,66,62,70,,
2024/9/9,75,75,64,75,,
2024/9/10,100,50,100,99,,
2024/9/11,82,68,65,74,,
2024/9/12,83,80,68,62,,
2024/9/13,71,41,65,56,,
2024/9/14,71,70,77,63,,
2024/9/15,63,76,73,81,,
2024/9/16,52,66,68,60,,
2024/9/17,87,55,55,72,,
2024/9/18,91,63,64,59,,
2024/9/19,66,66,51,78,,
2024/9/20,85,49,60,64,,
2024/9/21,89,71,78,72,,
2024/9/22,76,86,70,84,,
2024/9/23,88,72,83,78,,
2024/9/24,78,63,49,59,,
2024/9/25,68,36,54,54,,
2024/9/26,81,64,59,44,,
2024/9/27,69,48,61,81,,
2024/9/28,73,50,64,88,,
2024/9/29,65,51,69,88,,
2024/9/30,67,38,60,48,,
2024/10/1,74,67,35,50,,
2024/10/2,68,81,63,58,,
2024/10/3,68,61,58,57,,
2024/10/4,70,68,62,54,,
2024/10/5,58,62,61,95,,
2024/10/6,78,58,57,81,,
2024/10/7,68,68,55,71,,
2024/10/8,87,63,60,57,,
2024/10/9,77,40,52,55,,
2024/10/10,68,45,66,66,,
2024/10/11,78,38,42,74,,
2024/10/12,68,69,54,74,,
2024/10/13,63,69,59,61,,
2024/10/14,66,70,61,77,,
2024/10/15,63,59,58,61,,
2024/10/16,95,73,63,53,,
2024/10/17,74,46,55,63,,
2024/10/18,72,58,56,64,,
2024/10/19,61,59,66,100,,
2024/10/20,72,85,61,78,,
2024/10/21,77,64,51,61,,
2024/10/22,76,75,65,42,,
2024/10/23,88,73,49,57,,
2024/10/24,77,61,63,46,,
2024/10/25,71,62,44,42,,
2024/10/26,63,57,66,86,,
2024/10/27,56,54,52,53,,
2024/10/28,67,62,51,64,,
2024/10/29,90,71,53,49,,
2024/10/30,83,66,44,68,,
2024/10/31,78,48,55,58,,
2024/11/1,75,45,57,42,,
2024/11/2,61,74,58,67,,
2024/11/3,65,77,65,72,,
2024/11/4,73,78,55,80,,
2024/11/5,76,57,54,50,,
2024/11/6,75,73,58,66,,
2024/11/7,85,65,47,42,,
2024/11/8,78,47,55,48,,
2024/11/9,68,59,71,65,,
2024/11/10,67,77,62,65,,
2024/11/11,73,71,54,65,,
2024/11/12,77,63,51,47,,
2024/11/13,73,76,56,44,,
2024/11/14,69,51,60,39,,
2024/11/15,70,53,68,51,,
2024/11/16,78,56,55,56,,
2024/11/17,70,76,66,73,,
2024/11/18,85,63,54,63,,
2024/11/19,72,64,54,56,,
2024/11/20,79,70,54,51,,
2024/11/21,71,87,53,48,,
2024/11/22,65,69,43,55,,
2024/11/23,66,58,42,48,,
2024/11/24,63,75,65,60,,
2024/11/25,75,58,60,51,,
2024/11/26,64,53,53,64,,
2024/11/27,76,65,50,44,,
2024/11/28,74,55,54,61,,
2024/11/29,73,55,56,54,,
2024/11/30,76,69,53,70,,
2024/12/1,89,54,68,75,,
2024/12/2,74,78,63,68,,
2024/12/3,80,73,47,48,,
2024/12/4,62,88,51,49,,
2024/12/5,86,65,52,61,,
2024/12/6,70,65,66,40,,
2024/12/7,69,90,66,62,,
2024/12/8,58,93,60,63,,
2024/12/9,82,72,63,60,,
2024/12/10,78,72,54,56,,
2024/12/11,62,57,45,51,,
2024/12/12,75,50,57,56,,
2024/12/13,71,61,49,46,,
2024/12/14,71,67,73,63,,
2024/12/15,76,70,69,65,,
2024/12/16,67,64,53,51,,
2024/12/17,77,56,45,48,,
2024/12/18,83,64,61,46,,
2024/12/19,72,60,48,52,,
2024/12/20,75,52,47,44,,
2024/12/21,66,54,68,61,,
2024/12/22,66,61,55,52,,
2024/12/23,85,62,51,38,,
2024/12/24,69,62,51,61,,
2024/12/25,72,47,54,40,,
2024/12/26,69,68,48,42,,
2024/12/27,61,89,43,42,,
2024/12/28,65,44,44,53,,
2024/12/29,60,65,45,58,,
2024/12/30,56,58,41,44,,
2024/12/31,52,60,48,60,,
2025/1/1,58,57,74,67,,
2025/1/2,54,77,95,73,,
2025/1/3,58,62,80,49,,
2025/1/4,58,68,68,62,,
2025/1/5,63,64,65,73,,
2025/1/6,71,71,55,71,,
2025/1/7,78,90,65,71,,
2025/1/8,81,59,63,49,,
2025/1/9,72,70,71,43,,
2025/1/10,59,45,69,55,,
2025/1/11,61,72,94,58,,
2025/1/12,75,72,86,74,,
2025/1/13,49,74,82,71,,
2025/1/14,68,97,71,67,,
2025/1/15,73,47,52,72,,
2025/1/16,77,60,67,52,,
2025/1/17,88,56,68,44,,
2025/1/18,77,85,73,56,,
2025/1/19,65,73,90,62,,
2025/1/20,71,54,55,54,,
